,index,unix,date,symbol,open,high,low,close,volume,Volume USD,feature_close,feature_open,feature_high,feature_low,feature_volume,position,real_position,portfolio_valuation,reward
79,80,1645804800,2022-02-25 16:00:00,BTC/USD,39442.92,39603.77,39214.6,39385.41,278.32131825,10961799.231016733,0.009978568205840742,0.0013365355343514112,0.0050221642989115925,0.008462270673328038,0.0015532663679265995,1,1.0,101.14621798072032,0.0
80,81,1645801200,2022-02-25 15:00:00,BTC/USD,39038.52,39601.0,38730.34,39481.66,163.9741307,6473970.877092962,0.002437840759481744,-0.0102427304221758,-7.015915744162728e-05,-0.012265441726614382,-0.002896210229002529,1,1.0,101.39339894140207,0.2471809606817459
81,82,1645797600,2022-02-25 14:00:00,BTC/USD,39404.56,39499.95,38930.12,39008.66,202.67981389,7906267.948898287,-0.012125512642577314,0.009383557394691355,-0.0025904504281870464,0.005121426883158921,0.0009922330884988102,0,0.0,101.39339894140207,0.0
82,83,1645794000,2022-02-25 13:00:00,BTC/USD,39367.63,39727.97,39268.39,39371.94,163.13332743,6422875.579574315,0.009226875790220112,-0.0009379776561683343,0.005791434204156667,0.008591651821068426,-0.0010044332704967035,1,1.0,102.33765577994593,0.0
83,84,1645790400,2022-02-25 12:00:00,BTC/USD,38781.89,39538.59,38767.31,39340.33,114.14765689,4490606.490779374,-0.0008035011399243621,-0.014889046431486414,-0.004813889461527258,-0.012737056349044396,-0.0012451769098022313,1,1.0,102.25549337445602,-0.08216240548991038
84,85,1645786800,2022-02-25 11:00:00,BTC/USD,38597.74,38881.31,38371.75,38771.98,44.73380784,1734418.3028963231,-0.01465878193478895,-0.004749563989252069,-0.016952448649772304,-0.010202213041479894,-0.0017903096269522472,0,0.0,102.25549337445602,0.0
85,86,1645783200,2022-02-25 10:00:00,BTC/USD,38704.34,38796.99,38512.78,38595.24,39.50023652,1524521.1085461648,-0.004579321180539498,0.0027619986298828185,-0.0021847253702788143,0.003654077549459437,-0.00013560147106223453,1,1.0,101.78936716942336,-0.0
86,87,1645779600,2022-02-25 09:00:00,BTC/USD,38371.75,38769.04,38027.61,38676.56,86.57521686,3348431.5693988013,0.002102565481521617,-0.00859926529143224,-0.0007226599263222244,-0.012544290391906578,0.0012171449668739928,1,1.0,102.00383691590551,0.2144697464821519
87,88,1645776000,2022-02-25 08:00:00,BTC/USD,38488.58,38549.87,38188.12,38390.22,54.51526264,2092852.926107381,-0.007458670463466906,0.0030432229875213463,-0.005709006095823318,0.00418101276835616,-0.0008351073325445906,0,0.0,102.00383691590551,0.0
88,89,1645772400,2022-02-25 07:00:00,BTC/USD,38706.89,38834.65,38398.98,38519.32,65.42931042,2520292.545447314,0.0033515648770538666,0.005667545532994811,0.007393173088206096,0.005474136095860482,0.00028333957556883117,0,0.0,102.00383691590551,0.0
89,90,1645768800,2022-02-25 06:00:00,BTC/USD,38473.84,38781.07,38411.39,38733.17,23.0444734,892585.505762678,0.005521107619128477,-0.006016806783436597,-0.0013833104803970795,0.0003203972202635678,-0.0010942775151117246,0,0.0,102.00383691590551,0.0
90,91,1645765200,2022-02-25 05:00:00,BTC/USD,38740.71,38796.39,38331.16,38473.84,46.75492129,1798841.3609240537,-0.006740424142742231,0.006936401461356668,0.0003981926420653543,-0.0020853130334792663,0.0006162745358924401,1,1.0,101.3208911351341,-0.0
91,92,1645761600,2022-02-25 04:00:00,BTC/USD,38927.42,38950.43,38676.36,38751.9,27.98132202,1084329.392786838,0.007175390109904416,0.004818086338992388,0.003975030901710648,0.00890795031985521,-0.00048445622717853827,1,1.0,102.05316238721177,0.7322712520776662
92,93,1645758000,2022-02-25 03:00:00,BTC/USD,38824.9,39019.83,38531.45,38945.92,63.65220475,2478993.67401712,0.004981779862948335,-0.002632368165907926,0.0017819581614711235,-0.00372080053571731,0.0009159080779193303,1,1.0,102.56411422612462,0.5109518389128453
93,94,1645754400,2022-02-25 02:00:00,BTC/USD,38569.97,38871.8,38500.99,38837.2,60.69037184,2357044.1092244475,-0.002799377916018693,-0.0065640674404952035,-0.003811551811150105,-0.0007842995890537714,-7.626278181743292e-05,0,0.0,102.56411422612462,0.0
94,95,1645750800,2022-02-25 01:00:00,BTC/USD,38260.5,38942.59,38176.97,38593.94,58.14710414,2244125.848352912,-0.006303062086949265,-0.008018616394180049,0.0018342257877789515,-0.008395618586752137,-6.589810991051947e-05,1,1.0,101.92169545168551,-0.0
95,96,1645747200,2022-02-25 00:00:00,BTC/USD,38360.93,38773.21,38242.11,38254.83,57.63023084,2204634.6836449574,-0.008864501554444251,0.0026252894078996115,-0.004427676191476929,0.001702791516783617,-1.3511321315504482e-05,0,0.0,101.92169545168551,0.0
96,97,1645743600,2022-02-24 23:00:00,BTC/USD,37875.79,38387.77,37875.79,38376.88,194.21769742,7453469.267763649,0.0031803002224254718,-0.012641465382282235,-0.010043547052287794,-0.009545330417688977,0.0035591081552226243,1,1.0,102.24687119890167,0.0
97,98,1645740000,2022-02-24 22:00:00,BTC/USD,38404.46,38491.81,37771.34,37866.33,83.507519,3162123.27193527,-0.013482954381900638,0.013961479763156297,0.002747559639394704,-0.0027583872004496965,-0.0029237102835157247,0,0.0,102.24687119890167,0.0
98,99,1645736400,2022-02-24 21:00:00,BTC/USD,38438.67,38667.86,38189.36,38410.46,185.34638436,7119239.882604405,0.014166193271311965,0.0008906428092764088,0.0045833869211668625,0.010882973023494228,0.002651331573743194,1,1.0,103.71613399847739,0.0
99,100,1645732800,2022-02-24 20:00:00,BTC/USD,37350.42,39720.0,37322.65,38417.05,570.59205558,21920463.52881964,0.0001715384184887643,-0.028327266148754263,0.027387318911785245,-0.022560555794887922,0.010027986824079411,1,1.0,103.73392835249061,0.01779435401321905
100,101,1645729200,2022-02-24 19:00:00,BTC/USD,36456.62,37388.88,36268.71,37328.59,259.68955597,9693844.962086182,-0.029158883311692366,-0.02394411361372063,-0.06244864860955109,-0.028234122960444058,-0.00832880372952742,0,0.0,103.73392835249061,0.0
101,102,1645725600,2022-02-24 18:00:00,BTC/USD,35858.35,36817.98,35833.07,36435.58,178.14766002,6490913.318471512,-0.02450928460587137,-0.01641993897174147,-0.015668750161243326,-0.011956444771841135,-0.0022379744181374368,0,0.0,103.73392835249061,0.0
102,103,1645722000,2022-02-24 17:00:00,BTC/USD,36205.15,36205.15,35770.8,35882.97,67.22921033,2412383.7373950803,-0.01540034172199237,0.009664751830743189,-0.017078575156961692,-0.0017353636000586572,-0.0030911167523201112,1,1.0,102.16061989556827,-0.0
